AnadoluJet,7/7,4/5,['737-800', 'Ej-195']
Turkish Airlines,7/7,6/7,['737-800', 'Ej-195', 'A340-300', 'A330-200', 'A330-300', '777-300ER', '737-900ER', '737-800', '737-700', 'A321', 'A320']
Pegasus,6/7,3/5,['737-800', 'Ej-195', 'A340-300', 'A330-200', 'A330-300', '777-300ER', '737-900ER', '737-800', '737-700', 'A321', 'A320', 'A320']
